               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.014215,             0.06532,           0.0053523,             0.95099,             0.93934,             0.95813,             0.85342,            0.013805,            0.055486,           0.0049568,            0.005809,            0.005809,            0.005809
                 129,            0.013751,            0.066061,           0.0053413,             0.95405,             0.93593,             0.95861,             0.85285,            0.014014,            0.055634,           0.0047448,            0.005776,            0.005776,            0.005776
                 130,            0.013859,            0.065951,           0.0052427,             0.95135,             0.93601,             0.95688,             0.85394,            0.013521,            0.054712,           0.0049663,            0.005743,            0.005743,            0.005743
                 131,            0.013967,            0.065812,           0.0053883,             0.95477,             0.93532,             0.95648,             0.85513,            0.013517,            0.055451,           0.0048574,             0.00571,             0.00571,             0.00571
                 132,            0.013648,            0.065348,           0.0053409,             0.95377,             0.93511,             0.95735,             0.85468,            0.013703,            0.054908,           0.0047608,            0.005677,            0.005677,            0.005677
                 133,            0.014058,            0.064623,           0.0053543,             0.95296,             0.93058,             0.95559,             0.84981,            0.013802,            0.056218,           0.0048805,            0.005644,            0.005644,            0.005644
                 134,            0.013623,            0.064395,           0.0053342,             0.95213,             0.93517,             0.95761,             0.85314,            0.014052,             0.05566,            0.004871,            0.005611,            0.005611,            0.005611
                 135,            0.014066,            0.065701,           0.0052837,              0.9525,             0.93155,              0.9538,             0.84485,            0.014332,             0.05689,            0.004818,            0.005578,            0.005578,            0.005578
                 136,            0.013857,            0.065648,            0.005227,             0.95139,             0.93656,             0.95628,              0.8533,            0.013796,             0.05604,           0.0046513,            0.005545,            0.005545,            0.005545
                 137,            0.013605,            0.066055,           0.0051584,             0.95528,             0.93297,             0.95677,             0.85237,            0.014021,            0.056058,            0.004751,            0.005512,            0.005512,            0.005512
                 138,             0.01317,            0.063259,           0.0051841,             0.95574,             0.93553,             0.95656,             0.85111,            0.014211,            0.055899,           0.0046641,            0.005479,            0.005479,            0.005479
                 139,            0.013699,            0.065137,           0.0051446,             0.95091,             0.93569,             0.95653,             0.85361,            0.013909,            0.055584,           0.0046879,            0.005446,            0.005446,            0.005446
                 140,            0.013412,            0.062623,           0.0051106,             0.94969,             0.94112,             0.95813,             0.85645,            0.013478,            0.055341,           0.0047799,            0.005413,            0.005413,            0.005413
                 141,            0.013181,             0.06315,           0.0050801,             0.94538,             0.94069,             0.95567,             0.85297,            0.013658,            0.056257,           0.0047447,             0.00538,             0.00538,             0.00538
                 142,            0.013827,             0.06456,            0.005242,             0.94984,             0.93529,             0.95537,             0.85292,            0.013703,            0.056028,           0.0047003,            0.005347,            0.005347,            0.005347
                 143,            0.013586,            0.064295,           0.0051726,             0.95253,             0.93649,             0.95549,             0.85303,            0.013569,            0.056241,           0.0047426,            0.005314,            0.005314,            0.005314
                 144,            0.013368,            0.062872,           0.0050537,             0.95391,              0.9359,             0.95484,             0.85223,            0.013612,            0.056545,           0.0045954,            0.005281,            0.005281,            0.005281
                 145,            0.013636,            0.062875,           0.0050557,             0.95301,             0.93679,             0.95579,             0.85306,            0.013851,            0.055803,           0.0046694,            0.005248,            0.005248,            0.005248
                 146,            0.013424,            0.063688,           0.0052776,             0.95099,             0.93305,             0.95583,             0.85502,            0.013418,            0.055779,           0.0046886,            0.005215,            0.005215,            0.005215
